temperature,humidity,wind_speed,pm25,pm10,no2,so2,co,o3,main_pollutant,aqi
10.0,63.1,7.56,23.7,62.5,16.5,6.9,0.21,30.1,PM10,61.5
19.0,33.8,6.61,72.2,82.0,25.3,4.1,0.35,29.2,PM2.5,136.8
22.2,49.1,4.59,34.3,96.7,13.1,4.4,0.53,33.6,PM10,95.3
23.0,44.5,7.33,53.8,110.4,12.9,8.2,0.59,2.0,PM10,103.6
41.2,44.4,7.73,71.1,167.8,23.0,2.3,0.48,4.9,PM10,141.6
17.2,61.3,6.41,157.5,244.7,23.9,4.4,0.55,39.2,PM2.5,324.1
25.3,92.8,8.97,7.4,28.2,14.3,4.7,0.67,30.7,CO,30.0
44.3,33.6,6.65,64.0,108.9,16.5,4.8,0.63,33.7,PM2.5,110.3
16.6,64.6,0.99,98.9,122.1,55.7,3.8,1.93,28.0,PM2.5,227.2
43.4,30.8,8.09,20.5,43.4,24.0,5.8,0.3,33.0,PM10,45.4
4.7,66.6,4.13,19.6,49.4,9.8,7.9,0.64,17.9,PM10,50.0
27.7,22.1,9.84,32.8,76.8,15.2,14.3,0.4,2.0,PM10,77.2
13.9,68.9,3.54,120.6,185.9,27.7,6.6,0.98,62.0,PM10,160.6
29.6,84.9,10.72,9.9,27.9,18.8,3.3,0.26,75.1,O3,70.3
39.6,17.9,7.05,14.7,38.2,15.8,12.0,0.45,38.5,O3,36.0
38.3,53.8,7.14,21.1,38.3,13.2,6.3,0.34,71.3,O3,69.4
33.0,44.7,2.74,122.3,172.3,36.1,13.2,1.0,38.8,PM2.5,301.5
15.2,71.6,0.79,172.4,247.4,35.1,17.4,1.06,89.6,PM2.5,343.8
28.6,43.0,7.73,48.3,89.0,5.7,5.8,0.27,11.2,PM10,89.8
13.3,47.9,7.62,11.4,23.4,10.4,6.5,0.33,58.9,O3,63.4
30.2,41.8,2.94,137.9,244.3,43.0,5.1,0.91,74.1,PM2.5,320.1
21.1,34.5,8.43,79.0,113.7,8.6,7.2,0.4,11.1,PM2.5,160.6
25.8,83.1,12.36,33.0,82.7,11.4,4.0,0.44,73.4,PM10,75.8
25.8,30.6,3.96,78.9,129.2,21.7,7.3,0.74,34.5,PM2.5,166.8
5.6,68.4,4.1,228.8,451.3,10.7,2.4,0.78,2.0,PM10,412.0
13.3,64.3,6.09,17.4,36.7,27.8,6.1,0.42,37.5,O3,36.4
12.9,70.3,1.14,115.1,169.7,24.2,19.3,0.72,24.6,PM2.5,285.7
36.0,78.9,7.5,50.3,107.8,30.8,6.8,0.41,61.1,PM10,105.0
38.2,40.2,6.65,67.6,135.7,14.1,6.6,0.99,43.4,PM10,123.6
15.1,54.9,0.94,134.3,208.2,81.8,26.6,2.17,33.1,PM2.5,311.2
26.1,44.4,12.07,3.0,5.0,14.5,4.3,0.36,71.8,O3,68.0
36.9,58.9,5.45,16.5,34.4,30.1,14.2,0.73,33.2,NO2,34.4
15.9,65.8,0.65,128.1,255.6,32.5,14.8,0.6,42.6,PM2.5,310.6
36.1,41.7,6.47,36.6,73.8,17.3,10.1,0.86,41.9,PM10,78.0
5.8,73.6,6.37,41.7,93.0,21.1,9.1,0.51,5.1,PM10,93.2
20.1,34.7,10.56,25.1,63.7,16.9,6.9,0.24,99.5,O3,98.6
16.0,65.1,6.6,86.6,141.9,10.5,2.0,0.39,72.6,PM2.5,191.1
23.7,56.0,1.95,14.9,27.4,69.4,7.5,0.73,28.0,NO2,85.6
17.5,35.2,7.97,38.4,84.5,7.0,3.7,0.5,21.9,PM10,85.1
11.2,74.8,6.89,136.8,255.4,11.4,5.5,0.5,8.1,PM2.5,320.6
12.9,68.4,2.1,105.9,149.0,34.2,13.3,0.31,50.9,PM2.5,257.9
25.0,57.0,12.81,11.1,29.0,8.5,4.7,0.27,11.1,PM10,24.0
34.5,87.9,7.67,15.0,37.0,12.2,4.8,0.31,66.1,O3,66.8
32.0,65.8,9.27,35.8,74.2,13.0,3.6,0.52,112.7,O3,113.7
22.4,33.0,11.94,24.5,56.0,7.6,3.5,0.52,46.5,PM10,58.8
12.3,63.7,2.72,36.3,66.7,36.1,4.2,2.06,55.6,PM10,62.7
35.1,44.8,6.77,26.1,45.5,12.7,12.0,0.43,79.8,O3,86.2
6.3,61.7,1.76,164.8,323.5,34.1,13.7,0.91,10.9,PM2.5,329.7
21.0,48.8,9.62,37.1,76.4,9.0,4.8,0.21,5.6,PM10,72.1
25.0,85.2,10.51,15.1,23.6,14.5,5.4,0.6,70.6,O3,65.4
36.2,49.2,9.24,19.3,60.9,14.8,5.0,0.34,83.7,O3,81.2
13.0,62.3,0.2,186.9,357.5,71.1,31.9,1.12,78.8,PM2.5,353.1
38.4,42.6,7.73,46.8,71.1,8.5,3.1,0.39,61.3,PM2.5,81.8
38.8,47.0,6.94,44.7,79.0,18.7,11.4,0.35,36.3,PM10,75.5
22.2,78.6,12.62,14.7,31.3,7.2,2.9,0.63,44.5,O3,47.6
30.0,87.3,12.25,17.5,38.5,15.4,2.9,0.48,32.7,PM10,37.1
29.6,57.1,8.76,45.0,85.3,10.5,4.9,0.61,71.8,PM10,79.7
37.7,56.9,5.62,51.0,79.8,9.9,6.5,0.49,79.0,PM2.5,88.6
10.6,78.0,2.62,32.7,76.6,22.5,7.3,1.5,44.1,PM10,75.2
26.4,72.4,17.16,6.2,32.2,6.3,4.8,0.3,30.1,PM10,29.9
15.1,49.2,9.17,10.6,9.9,18.1,4.3,0.37,28.8,O3,35.6
28.8,84.1,9.72,15.2,33.2,7.2,5.2,0.34,8.5,PM10,36.3
23.0,63.0,12.13,8.8,21.2,8.5,4.8,0.32,18.6,PM10,31.1
39.1,26.9,5.54,73.3,104.1,17.6,3.0,0.46,45.7,PM2.5,142.1
35.8,45.0,9.31,43.4,92.5,9.0,5.5,0.45,29.5,PM10,93.7
35.6,42.7,9.37,24.6,73.8,11.3,3.1,0.23,45.3,PM10,69.4
17.5,71.7,3.0,114.6,244.8,13.6,2.6,0.46,40.6,PM2.5,284.7
9.3,66.0,5.78,175.4,305.2,10.1,11.6,0.61,2.0,PM2.5,340.3
16.4,66.0,0.2,291.5,523.1,57.9,28.6,0.89,9.0,PM10,450.2
25.6,80.0,11.2,12.3,21.4,19.1,5.8,0.66,50.7,CO,30.1
44.6,39.4,1.17,62.3,87.8,34.2,16.5,1.2,64.8,PM2.5,105.6
37.1,29.4,6.53,99.2,177.7,7.9,4.3,1.18,69.5,PM2.5,239.2
26.8,63.1,5.05,53.3,96.7,12.9,9.2,0.26,70.2,PM10,97.3
11.0,70.1,2.59,31.5,79.9,14.8,20.1,0.44,43.4,PM10,79.0
35.8,57.3,13.46,41.3,98.5,8.5,5.2,0.41,80.5,PM10,101.4
21.0,26.3,16.09,3.0,5.0,9.3,3.1,0.58,53.4,O3,54.2
10.8,69.5,6.32,146.0,204.7,13.9,4.8,0.5,2.0,PM2.5,313.8
14.3,68.8,6.17,126.2,200.4,25.5,2.5,0.26,10.5,PM2.5,306.1
16.7,62.8,5.34,68.2,130.7,17.4,4.7,1.28,2.0,PM2.5,130.8
13.4,63.5,6.06,139.6,197.2,9.8,12.3,0.56,29.5,PM2.5,314.4
30.4,66.6,3.89,10.3,21.2,35.7,12.8,0.6,41.8,NO2,45.7
23.1,43.1,11.71,61.0,132.1,17.0,3.8,0.24,64.6,PM10,122.3
27.2,77.7,11.62,3.0,28.1,16.6,2.9,0.75,4.8,CO,41.7
24.5,48.9,6.56,29.3,52.6,5.9,3.9,0.26,10.0,PM10,50.6
22.7,56.5,11.69,50.9,93.0,28.7,2.6,0.34,28.4,PM10,92.0
15.9,60.9,0.2,482.7,600.0,43.9,8.0,1.04,46.5,PM10,500.0
27.9,52.6,2.92,114.9,210.6,29.6,14.7,0.77,38.7,PM2.5,280.2
40.8,50.8,8.79,19.4,43.0,11.0,6.4,0.89,79.6,O3,76.4
26.0,40.7,9.29,44.7,70.2,11.6,5.1,0.38,41.5,PM2.5,76.8
25.0,67.7,7.51,107.6,180.5,11.4,3.4,0.34,45.5,PM2.5,261.5
34.7,39.1,11.32,33.6,55.3,10.7,2.6,0.58,61.6,O3,59.1
23.4,66.6,8.87,56.1,101.6,9.2,2.5,0.28,2.0,PM10,99.6
17.5,64.9,4.47,145.9,260.5,19.6,8.0,0.21,48.4,PM2.5,320.1
32.7,27.9,10.36,74.6,98.9,9.2,5.1,0.41,46.7,PM2.5,149.7
24.9,45.9,13.59,16.4,49.2,9.2,4.9,0.36,59.3,O3,57.9
23.6,61.1,2.68,68.3,97.6,14.8,3.5,0.57,87.1,PM2.5,124.1
12.1,63.7,5.49,112.4,242.1,17.6,3.5,0.68,61.8,PM2.5,276.1
32.7,42.0,5.28,42.1,89.8,9.9,9.3,0.53,51.5,PM10,85.6
38.0,40.8,10.33,9.4,11.7,5.7,3.9,0.58,76.3,O3,75.1
8.6,63.3,3.95,80.6,129.1,25.6,6.5,0.59,6.0,PM2.5,154.4
13.7,75.8,6.11,93.4,175.7,13.8,6.6,0.83,2.0,PM2.5,209.3
43.9,54.3,9.8,10.8,36.4,8.5,5.7,0.38,42.3,O3,42.6
27.3,71.3,12.33,8.1,21.3,12.8,5.4,0.33,66.6,O3,67.4
34.8,51.5,8.98,33.1,52.4,25.1,5.4,0.37,41.3,PM2.5,45.9
35.2,42.1,10.1,15.4,48.2,12.9,4.7,0.37,57.0,O3,54.0
26.3,86.8,12.11,38.4,78.9,12.0,3.7,0.22,44.7,PM10,81.6
43.2,39.2,12.7,23.3,43.0,12.9,5.8,0.29,128.4,O3,150.7
26.2,37.2,7.1,30.1,52.2,11.0,2.2,0.35,8.4,PM10,54.4
25.9,46.4,16.01,25.3,50.1,11.4,3.1,0.38,41.5,PM2.5,50.0
14.9,76.9,5.5,59.1,93.4,14.7,4.6,0.87,46.8,PM2.5,104.1
43.7,64.3,9.42,31.4,65.5,10.0,7.2,0.57,74.5,O3,75.7
30.2,21.5,10.48,46.7,98.2,17.7,4.9,0.63,43.2,PM10,102.2
8.6,53.2,3.55,262.0,394.1,21.7,9.6,0.55,11.1,PM2.5,412.6
15.7,83.1,4.6,56.3,83.8,55.1,2.9,0.75,58.3,PM2.5,94.1
32.1,81.5,11.44,3.0,15.1,7.1,6.2,0.27,24.6,O3,20.2
34.5,46.3,3.52,42.6,53.7,14.5,2.7,1.02,60.8,PM2.5,72.3
18.0,56.8,5.52,80.6,149.3,7.4,8.0,1.0,16.2,PM2.5,167.0
19.5,60.6,5.54,87.4,116.7,19.4,5.6,0.42,20.2,PM2.5,189.3
32.5,68.7,7.6,60.7,121.3,11.6,15.2,0.24,41.2,PM10,114.7
15.9,50.7,3.24,104.5,203.4,16.1,6.2,0.73,29.7,PM2.5,244.2
16.5,58.0,3.51,100.3,96.8,8.8,5.7,1.14,23.6,PM2.5,231.0
42.3,40.7,10.58,13.1,40.6,9.4,2.6,0.29,68.1,O3,65.9
23.6,43.3,10.46,17.2,43.6,7.1,5.1,0.49,59.5,O3,57.7
20.4,70.2,5.48,150.7,177.7,18.4,5.1,0.59,51.5,PM2.5,321.9
27.1,84.4,7.75,30.7,59.0,23.0,3.2,0.38,49.4,PM10,64.5
26.0,46.5,7.62,78.2,143.7,36.0,3.0,0.44,46.5,PM2.5,154.9
10.7,74.7,6.39,87.4,180.9,12.2,7.6,0.53,31.3,PM2.5,195.6
29.8,66.4,12.66,8.4,22.3,7.4,2.9,0.45,51.2,O3,59.9
37.9,62.3,5.8,33.9,69.9,25.5,3.5,0.66,66.5,PM10,65.9
25.2,85.1,12.75,30.7,72.9,8.3,5.3,0.3,6.5,PM10,72.6
31.6,65.3,11.47,39.3,81.8,10.1,6.6,0.45,18.8,PM10,81.4
39.1,31.7,6.77,45.5,99.6,23.0,5.5,0.46,63.8,PM10,92.9
7.2,68.3,6.2,43.8,92.4,5.3,8.4,0.35,33.0,PM10,94.4
20.5,25.5,11.67,27.5,56.5,9.2,3.0,0.21,2.0,PM10,57.7
35.3,49.5,9.34,28.2,29.1,9.4,12.2,0.48,66.3,O3,70.7
16.4,77.4,0.2,500.0,588.1,7.4,13.6,0.68,14.3,PM2.5,500.0
12.4,81.4,0.45,56.2,114.9,32.3,5.6,2.31,41.0,PM10,111.0
27.3,90.3,17.69,6.1,13.1,7.0,4.4,0.36,18.9,O3,16.2
28.0,79.6,15.44,4.1,5.0,11.8,3.5,0.34,97.6,O3,90.3
12.5,62.0,5.52,91.6,156.8,16.0,19.3,0.39,38.2,PM2.5,205.6
37.7,54.5,6.52,52.2,85.6,6.8,7.3,0.59,86.4,PM2.5,93.1
17.7,67.5,7.87,64.9,111.7,15.1,5.6,0.53,29.7,PM2.5,108.5
28.9,86.7,17.0,3.0,26.6,7.1,3.2,0.25,68.9,O3,71.7
9.4,77.3,2.7,28.6,59.7,27.8,16.4,0.52,39.7,PM10,59.4
29.2,85.6,14.89,7.0,26.0,18.4,3.1,0.52,35.2,O3,31.4
35.2,28.6,8.27,41.6,48.1,12.7,2.2,0.6,50.4,PM2.5,74.9
18.4,34.4,9.52,37.3,63.6,13.6,2.7,0.82,74.4,O3,75.6
19.3,80.6,4.0,70.5,129.5,31.8,15.2,0.99,66.8,PM2.5,134.6
32.3,12.8,5.95,77.9,167.0,17.3,6.4,0.46,18.4,PM2.5,152.6
14.6,72.4,6.1,42.8,46.0,14.8,5.5,0.42,58.0,PM2.5,77.5
26.6,62.2,8.17,48.2,59.3,24.3,4.5,0.77,39.3,PM2.5,77.2
28.7,51.7,7.07,22.9,49.2,6.2,5.9,0.47,43.3,PM10,50.5
18.3,69.0,5.99,12.7,35.9,9.8,4.9,0.61,28.3,PM10,39.8
28.4,77.3,6.18,13.2,28.5,41.7,5.3,0.46,70.7,O3,72.2
23.3,45.7,11.44,9.9,23.7,8.5,2.3,0.56,73.3,O3,76.7
28.9,83.2,16.73,27.6,40.1,8.5,3.5,0.22,68.8,O3,72.9
44.5,63.6,3.5,15.4,52.4,23.4,9.8,1.18,66.2,O3,75.6
15.2,64.0,3.97,87.6,180.3,8.5,6.7,0.31,35.1,PM2.5,186.6
16.3,51.7,1.86,181.9,331.3,16.8,8.2,1.13,26.7,PM2.5,347.8
24.5,59.8,5.89,77.7,143.3,16.5,5.6,0.57,12.9,PM2.5,164.1
21.8,52.8,8.84,52.0,86.6,7.8,3.0,0.32,46.5,PM10,86.5
27.5,87.9,17.18,3.0,22.1,5.5,3.4,0.37,79.2,O3,70.3
34.9,49.2,4.99,43.7,87.4,27.6,3.2,1.1,81.5,PM10,93.2
36.0,27.2,4.95,18.1,49.1,17.7,3.2,0.5,49.2,O3,49.8
26.4,83.1,6.55,26.1,65.0,12.9,3.5,0.52,41.8,PM10,60.9
26.0,54.4,8.5,5.1,5.0,14.2,8.6,0.4,48.0,O3,49.0
22.2,31.8,8.7,8.5,26.3,27.4,2.4,0.3,40.3,O3,42.4
24.3,28.3,5.14,36.0,67.1,10.7,5.6,0.97,31.4,PM10,63.8
24.5,78.5,8.9,7.3,34.6,16.2,10.7,0.46,54.8,O3,54.4
18.5,75.8,5.35,74.7,121.2,27.1,3.6,1.79,17.1,PM2.5,150.4
12.2,52.5,4.44,114.1,199.7,14.4,3.1,0.42,38.3,PM2.5,276.0
23.4,50.5,6.8,17.0,49.8,11.8,10.9,0.6,76.8,O3,79.9
26.7,76.1,14.35,12.5,32.2,8.8,2.8,0.22,32.1,PM10,39.0
18.9,32.5,2.28,148.3,235.7,21.1,13.7,0.65,41.1,PM2.5,314.6
17.9,48.9,4.24,91.2,184.2,52.0,19.7,1.31,43.2,PM2.5,202.5
27.0,79.5,13.55,8.2,14.4,19.3,4.0,0.29,65.0,O3,67.0
16.3,39.2,2.62,105.9,181.1,28.8,5.1,0.86,17.6,PM2.5,252.4
13.2,51.6,0.4,329.5,600.0,29.6,9.3,0.83,2.0,PM10,500.0
40.8,48.6,3.48,46.6,87.2,9.6,9.2,0.3,113.2,O3,120.3
28.4,63.9,10.91,10.7,26.6,14.6,2.3,0.35,66.9,O3,70.8
31.2,75.9,14.36,9.9,11.1,9.0,6.3,0.38,31.3,O3,34.6
18.2,69.5,3.25,102.5,196.7,14.3,4.5,0.47,2.0,PM2.5,236.3
24.7,86.1,21.17,7.8,18.8,7.9,5.3,0.3,31.3,O3,25.3
8.7,52.2,1.43,143.0,196.1,61.6,24.2,0.78,34.5,PM2.5,313.0
35.0,46.4,5.82,30.5,44.1,20.1,2.1,0.44,32.2,PM10,50.7
28.2,91.7,13.16,11.5,15.5,8.6,3.7,0.36,56.6,O3,54.0
32.0,74.9,15.14,3.6,5.0,10.7,5.1,0.33,55.0,O3,55.6
20.0,49.5,10.19,59.9,109.2,13.6,4.8,0.44,44.3,PM10,110.3
27.7,82.3,15.56,10.5,35.9,11.6,2.8,0.49,93.6,O3,93.3
33.3,70.5,11.15,6.5,25.0,6.7,4.8,0.28,87.6,O3,90.7
15.3,62.5,4.94,49.4,88.1,13.4,2.1,0.48,10.1,PM10,90.8
37.4,52.6,12.65,42.4,65.6,15.0,4.1,0.28,31.2,PM2.5,67.7
13.2,84.9,4.43,219.7,317.3,13.9,8.9,0.66,8.2,PM2.5,372.1
18.2,66.0,4.9,55.2,76.5,19.0,9.6,0.27,21.3,PM2.5,95.5
22.3,48.6,10.2,13.4,34.8,6.8,5.8,0.51,63.8,O3,65.7
38.5,57.0,3.81,55.9,101.4,31.7,11.2,0.46,53.9,PM10,99.1
26.9,48.2,11.06,30.6,42.3,9.4,5.0,0.45,39.0,PM10,46.6
29.4,95.5,12.08,7.1,11.3,8.1,3.8,0.37,85.1,O3,84.5
22.9,45.6,9.99,57.6,100.1,10.3,2.6,0.47,47.9,PM2.5,97.2
39.2,32.6,9.7,12.7,29.4,16.1,7.8,0.5,75.0,O3,76.3
26.9,92.9,16.93,16.9,43.6,10.8,4.4,0.42,12.4,PM10,41.9
37.3,58.8,6.53,26.9,38.8,16.7,3.2,0.67,58.5,O3,55.0
10.2,53.0,8.53,136.8,170.9,21.9,6.5,0.64,15.0,PM2.5,318.8
31.1,72.8,8.11,9.9,12.1,22.6,4.4,0.39,20.8,NO2,34.6
12.8,59.7,4.02,54.5,95.9,20.7,8.1,0.44,22.9,PM10,92.7
19.8,61.5,6.12,63.1,122.9,6.2,2.3,0.65,20.4,PM10,114.9
25.1,86.4,11.56,3.9,33.3,15.8,3.9,0.4,61.0,O3,63.8
13.7,74.6,3.15,263.1,270.8,18.0,7.1,0.71,31.0,PM2.5,407.5
24.1,42.8,8.96,79.2,141.2,6.4,3.1,0.75,42.4,PM2.5,169.4
28.4,45.1,1.65,86.5,115.5,42.4,13.9,0.55,11.6,PM2.5,190.3
29.6,52.8,10.85,8.1,22.3,13.4,7.5,0.54,71.5,O3,72.6
39.0,40.1,8.64,13.3,29.3,7.6,6.0,0.73,19.1,CO,29.3
19.5,67.3,4.81,17.2,29.2,35.3,6.2,0.72,23.0,NO2,36.8
23.5,38.6,11.47,41.3,78.5,11.8,3.4,0.5,35.3,PM10,76.1
42.4,65.0,10.81,17.4,33.7,6.9,2.5,0.57,77.7,O3,76.0
18.0,65.3,9.82,27.1,58.4,15.4,2.4,0.43,28.8,PM10,59.0
22.4,34.7,8.84,25.9,57.7,16.2,5.8,0.39,18.9,PM10,61.4
22.6,30.3,7.97,36.8,49.8,13.8,6.3,0.37,64.4,O3,64.0
15.1,71.2,1.71,126.3,201.9,22.0,10.1,0.86,2.0,PM2.5,303.0
40.1,48.1,5.12,58.5,70.6,26.9,9.0,0.31,80.5,PM2.5,99.9
25.5,51.6,9.16,31.0,57.8,9.7,3.9,0.24,57.7,PM10,56.6
38.8,37.1,9.18,12.2,36.2,8.3,4.3,0.51,55.9,O3,57.6
13.1,62.3,4.08,146.6,294.5,21.1,13.2,1.22,31.9,PM2.5,316.5
29.9,78.3,10.77,18.4,35.6,9.9,5.8,0.43,40.3,O3,41.8
20.4,48.7,0.2,40.0,50.6,35.0,35.3,2.01,14.6,PM2.5,64.1
24.1,65.5,11.17,9.5,20.6,7.1,3.2,0.46,13.8,CO,26.3
32.3,68.8,9.48,11.4,34.6,12.0,3.8,0.63,27.1,PM10,33.7
16.7,59.7,4.76,89.2,145.1,10.8,6.9,0.57,3.3,PM2.5,196.7
24.2,71.5,10.21,12.1,36.9,23.3,5.7,0.31,67.6,O3,64.6
26.2,43.8,8.99,25.1,61.5,9.6,12.4,0.55,62.8,O3,67.3
11.4,78.1,5.52,4.8,5.0,17.4,4.6,0.36,22.2,O3,23.4
39.0,52.1,4.86,56.7,121.1,6.7,5.2,0.49,2.0,PM10,120.9
25.4,54.1,6.27,11.2,44.8,22.3,5.8,0.4,30.0,PM10,45.7
34.4,78.6,14.59,11.5,18.0,11.7,2.1,0.31,71.0,O3,65.3
30.3,94.8,9.19,3.0,26.4,12.0,3.4,0.29,51.0,O3,54.5
28.9,70.0,5.51,26.9,52.8,12.5,2.9,1.16,25.6,CO,58.6
33.3,38.1,7.12,16.8,36.5,16.7,12.1,0.29,44.7,O3,43.4
12.2,81.2,1.75,191.0,331.6,22.0,17.1,0.49,48.9,PM2.5,350.2
23.1,41.0,12.43,22.4,38.3,7.8,2.2,0.38,91.2,O3,98.7
27.9,49.3,8.94,3.0,11.6,11.4,4.4,0.53,75.8,O3,76.6
27.4,51.6,8.57,17.1,43.6,16.5,5.6,0.76,39.9,PM10,47.8
13.9,35.8,3.02,91.4,166.3,46.4,30.9,1.48,5.7,PM2.5,200.0
36.1,42.8,3.91,32.3,55.0,14.0,8.6,0.86,42.5,PM10,56.2
35.1,43.2,3.53,199.8,386.1,7.1,8.2,0.3,88.2,PM2.5,361.1
25.6,56.5,7.43,29.5,63.8,23.1,2.1,0.28,42.2,PM10,63.1
31.1,77.9,22.0,4.3,19.8,12.7,6.4,0.39,2.0,PM10,20.9
26.7,72.9,11.49,14.9,39.7,7.7,6.0,0.24,2.0,PM10,29.4
20.5,32.7,5.46,61.0,109.3,11.5,11.5,0.57,13.9,PM10,109.9
26.9,34.1,5.73,63.1,129.1,9.5,4.4,0.47,2.0,PM10,123.1
34.9,28.8,2.44,84.2,124.0,51.2,8.9,0.32,78.5,PM2.5,178.1
41.8,36.6,8.66,119.3,251.6,11.9,2.8,1.02,121.8,PM2.5,299.3
12.0,71.4,4.79,89.3,125.5,40.5,14.2,0.72,52.3,PM2.5,203.3
24.6,85.8,13.59,18.9,32.5,8.7,2.4,0.39,69.7,O3,67.9
22.2,54.0,6.6,17.5,31.9,13.3,9.6,0.37,65.3,O3,65.9
32.7,33.6,9.4,22.8,47.6,14.4,2.2,0.37,23.1,PM10,45.3
43.2,21.6,9.28,23.7,42.5,5.6,2.3,0.61,62.4,O3,56.2
13.8,78.7,4.87,127.0,166.7,19.2,10.1,0.65,32.2,PM2.5,304.3
28.1,75.9,7.29,6.9,26.0,16.2,7.4,0.43,92.1,O3,89.9
13.3,64.4,5.18,58.7,97.8,32.4,12.5,0.46,13.7,PM10,99.7
7.6,59.5,2.8,135.8,206.4,8.9,4.3,0.36,41.3,PM2.5,317.3
22.1,26.2,9.4,17.9,34.1,11.1,5.6,0.31,22.7,PM10,35.4
44.4,45.3,4.37,7.4,17.2,10.2,12.5,0.66,38.2,O3,37.0
9.9,70.1,6.87,101.1,218.2,16.4,3.9,0.56,2.0,PM2.5,233.1
32.3,19.9,8.2,67.4,114.3,8.7,5.7,0.48,12.4,PM2.5,127.3
19.6,32.6,8.83,25.3,42.0,10.8,3.7,0.95,35.5,CO,51.9
14.1,60.9,6.68,61.9,93.3,19.6,5.3,0.51,51.1,PM2.5,102.9
28.2,89.5,11.21,14.8,29.6,14.7,8.5,0.23,112.7,O3,119.3
19.0,60.8,7.71,95.1,140.2,9.7,3.4,0.84,56.7,PM2.5,216.6
16.9,45.7,7.14,23.2,51.0,34.2,5.1,0.26,14.2,PM10,48.2
42.0,37.4,12.81,12.9,23.8,19.1,5.1,0.52,91.7,O3,91.2
34.5,58.8,7.42,11.3,27.6,14.5,2.3,0.84,77.0,O3,73.8
28.2,71.0,17.71,16.7,45.0,8.7,4.0,0.26,44.8,PM10,51.2
28.7,80.3,14.85,11.8,37.9,12.1,2.4,0.5,23.5,PM10,33.9
23.3,51.0,4.65,23.6,60.5,8.9,5.2,0.55,2.0,PM10,58.0
38.7,63.4,6.91,11.8,24.6,10.7,5.8,0.3,40.7,O3,43.2
35.0,36.4,7.81,43.0,85.2,26.0,3.0,0.35,59.3,PM10,85.3
22.8,50.3,8.01,3.2,20.0,9.9,2.5,0.96,77.2,O3,76.7
7.2,71.9,4.08,192.4,331.2,14.7,8.3,0.85,3.5,PM2.5,360.7
37.1,65.7,5.23,59.4,81.4,31.5,7.6,0.58,62.8,PM2.5,100.3
10.7,53.5,4.79,54.3,116.9,16.0,8.5,0.82,40.9,PM10,110.8
17.3,62.0,4.28,76.4,156.2,39.4,4.1,1.11,18.5,PM2.5,151.8
